round,team,opponent,home_away,home_score,away_score,team_score,opponent_score,match_status,kickoff_iso,match_url,match_id
24,Atalanta,Cremonese,H,2,1,2,1,4,2026-02-09T18:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/atalanta-cremonese/16901,16901
24,Bologna,Parma,H,0,1,0,1,4,2026-02-08T12:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/bologna-parma/16902,16902
24,Cagliari,Roma,A,2,0,0,2,4,2026-02-09T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/roma-cagliari/16908,16908
24,Como,Milan,A,1,1,1,1,4,2026-02-18T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/milan-como/16907,16907
24,Cremonese,Atalanta,A,2,1,1,2,4,2026-02-09T18:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/atalanta-cremonese/16901,16901
24,Fiorentina,Torino,H,2,2,2,2,4,2026-02-07T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/fiorentina-torino/16903,16903
24,Genoa,Napoli,H,2,3,2,3,4,2026-02-07T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/genoa-napoli/16904,16904
24,Inter,Sassuolo,A,0,5,5,0,4,2026-02-08T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/sassuolo-inter/16909,16909
24,Juventus,Lazio,H,2,2,2,2,4,2026-02-08T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/juventus-lazio/16905,16905
24,Lazio,Juventus,A,2,2,2,2,4,2026-02-08T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/juventus-lazio/16905,16905
24,Lecce,Udinese,H,2,1,2,1,4,2026-02-08T15:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/lecce-udinese/16906,16906
24,Milan,Como,H,1,1,1,1,4,2026-02-18T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/milan-como/16907,16907
24,Napoli,Genoa,A,2,3,3,2,4,2026-02-07T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/genoa-napoli/16904,16904
24,Parma,Bologna,A,0,1,1,0,4,2026-02-08T12:30,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/bologna-parma/16902,16902
24,Pisa,Verona,A,0,0,0,0,4,2026-02-06T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/verona-pisa/16910,16910
24,Roma,Cagliari,H,2,0,2,0,4,2026-02-09T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/roma-cagliari/16908,16908
24,Sassuolo,Inter,H,0,5,0,5,4,2026-02-08T18:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/sassuolo-inter/16909,16909
24,Torino,Fiorentina,A,2,2,2,2,4,2026-02-07T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/fiorentina-torino/16903,16903
24,Udinese,Lecce,A,2,1,1,2,4,2026-02-08T15:00,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/lecce-udinese/16906,16906
24,Verona,Pisa,H,0,0,0,0,4,2026-02-06T20:45,https://www.fantacalcio.it/serie-a/calendario/24/2025-26/verona-pisa/16910,16910
25,Atalanta,Lazio,A,0,2,2,0,4,2026-02-14T18:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/lazio-atalanta/16915,16915
25,Bologna,Torino,A,1,2,2,1,4,2026-02-15T18:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/torino-bologna/16919,16919
25,Cagliari,Lecce,H,0,2,0,2,4,2026-02-16T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/cagliari-lecce/16911,16911
25,Como,Fiorentina,H,1,2,1,2,4,2026-02-14T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/como-fiorentina/16912,16912
25,Cremonese,Genoa,H,0,0,0,0,4,2026-02-15T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/cremonese-genoa/16913,16913
25,Fiorentina,Como,A,1,2,2,1,4,2026-02-14T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/como-fiorentina/16912,16912
25,Genoa,Cremonese,A,0,0,0,0,4,2026-02-15T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/cremonese-genoa/16913,16913
25,Inter,Juventus,H,3,2,3,2,4,2026-02-14T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/inter-juventus/16914,16914
25,Juventus,Inter,A,3,2,2,3,4,2026-02-14T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/inter-juventus/16914,16914
25,Lazio,Atalanta,H,0,2,0,2,4,2026-02-14T18:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/lazio-atalanta/16915,16915
25,Lecce,Cagliari,A,0,2,2,0,4,2026-02-16T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/cagliari-lecce/16911,16911
25,Milan,Pisa,A,1,2,2,1,4,2026-02-13T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/pisa-milan/16918,16918
25,Napoli,Roma,H,2,2,2,2,4,2026-02-15T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/napoli-roma/16916,16916
25,Parma,Verona,H,2,1,2,1,4,2026-02-15T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/parma-verona/16917,16917
25,Pisa,Milan,H,1,2,1,2,4,2026-02-13T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/pisa-milan/16918,16918
25,Roma,Napoli,A,2,2,2,2,4,2026-02-15T20:45,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/napoli-roma/16916,16916
25,Sassuolo,Udinese,A,1,2,2,1,4,2026-02-15T12:30,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/udinese-sassuolo/16920,16920
25,Torino,Bologna,H,1,2,1,2,4,2026-02-15T18:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/torino-bologna/16919,16919
25,Udinese,Sassuolo,H,1,2,1,2,4,2026-02-15T12:30,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/udinese-sassuolo/16920,16920
25,Verona,Parma,A,2,1,1,2,4,2026-02-15T15:00,https://www.fantacalcio.it/serie-a/calendario/25/2025-26/parma-verona/16917,16917
26,Atalanta,Napoli,H,0,0,0,0,0,2026-02-22T15:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/atalanta-napoli/16921,16921
26,Bologna,Udinese,H,0,0,0,0,0,2026-02-23T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/bologna-udinese/16922,16922
26,Cagliari,Lazio,H,0,0,0,0,0,2026-02-21T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/cagliari-lazio/16923,16923
26,Como,Juventus,A,0,0,0,0,0,2026-02-21T15:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/juventus-como/16926,16926
26,Cremonese,Roma,A,0,0,0,0,0,2026-02-22T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/roma-cremonese/16929,16929
26,Fiorentina,Pisa,H,0,0,0,0,0,2026-02-23T18:30,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/fiorentina-pisa/16924,16924
26,Genoa,Torino,H,0,0,0,0,0,2026-02-22T12:30,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/genoa-torino/16925,16925
26,Inter,Lecce,A,0,0,0,0,0,2026-02-21T18:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/lecce-inter/16927,16927
26,Juventus,Como,H,0,0,0,0,0,2026-02-21T15:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/juventus-como/16926,16926
26,Lazio,Cagliari,A,0,0,0,0,0,2026-02-21T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/cagliari-lazio/16923,16923
26,Lecce,Inter,H,0,0,0,0,0,2026-02-21T18:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/lecce-inter/16927,16927
26,Milan,Parma,H,0,0,0,0,0,2026-02-22T18:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/milan-parma/16928,16928
26,Napoli,Atalanta,A,0,0,0,0,0,2026-02-22T15:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/atalanta-napoli/16921,16921
26,Parma,Milan,A,0,0,0,0,0,2026-02-22T18:00,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/milan-parma/16928,16928
26,Pisa,Fiorentina,A,0,0,0,0,0,2026-02-23T18:30,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/fiorentina-pisa/16924,16924
26,Roma,Cremonese,H,0,0,0,0,0,2026-02-22T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/roma-cremonese/16929,16929
26,Sassuolo,Verona,H,0,0,0,0,0,2026-02-20T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/sassuolo-verona/16930,16930
26,Torino,Genoa,A,0,0,0,0,0,2026-02-22T12:30,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/genoa-torino/16925,16925
26,Udinese,Bologna,A,0,0,0,0,0,2026-02-23T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/bologna-udinese/16922,16922
26,Verona,Sassuolo,A,0,0,0,0,0,2026-02-20T20:45,https://www.fantacalcio.it/serie-a/calendario/26/2025-26/sassuolo-verona/16930,16930
27,atalanta,sassuolo,A,,,,,,,,
27,bologna,pisa,A,,,,,,,,
27,cagliari,parma,A,,,,,,,,
27,como,lecce,H,,,,,,,,
27,cremonese,milan,H,,,,,,,,
27,fiorentina,udinese,A,,,,,,,,
27,genoa,inter,A,,,,,,,,
27,inter,genoa,H,,,,,,,,
27,juventus,roma,A,,,,,,,,
27,lazio,torino,A,,,,,,,,
27,lecce,como,A,,,,,,,,
27,milan,cremonese,A,,,,,,,,
27,napoli,verona,A,,,,,,,,
27,parma,cagliari,H,,,,,,,,
27,pisa,bologna,H,,,,,,,,
27,roma,juventus,H,,,,,,,,
27,sassuolo,atalanta,H,,,,,,,,
27,torino,lazio,H,,,,,,,,
27,udinese,fiorentina,H,,,,,,,,
27,verona,napoli,H,,,,,,,,
28,atalanta,udinese,H,,,,,,,,
28,bologna,verona,H,,,,,,,,
28,cagliari,como,H,,,,,,,,
28,como,cagliari,A,,,,,,,,
28,cremonese,lecce,A,,,,,,,,
28,fiorentina,parma,H,,,,,,,,
28,genoa,roma,H,,,,,,,,
28,inter,milan,A,,,,,,,,
28,juventus,pisa,H,,,,,,,,
28,lazio,sassuolo,H,,,,,,,,
28,lecce,cremonese,H,,,,,,,,
28,milan,inter,H,,,,,,,,
28,napoli,torino,H,,,,,,,,
28,parma,fiorentina,A,,,,,,,,
28,pisa,juventus,A,,,,,,,,
28,roma,genoa,A,,,,,,,,
28,sassuolo,lazio,A,,,,,,,,
28,torino,napoli,A,,,,,,,,
28,udinese,atalanta,A,,,,,,,,
28,verona,bologna,A,,,,,,,,
29,atalanta,inter,A,,,,,,,,
29,bologna,sassuolo,A,,,,,,,,
29,cagliari,pisa,A,,,,,,,,
29,como,roma,H,,,,,,,,
29,cremonese,fiorentina,H,,,,,,,,
29,fiorentina,cremonese,A,,,,,,,,
29,genoa,verona,A,,,,,,,,
29,inter,atalanta,H,,,,,,,,
29,juventus,udinese,A,,,,,,,,
29,lazio,milan,H,,,,,,,,
29,lecce,napoli,A,,,,,,,,
29,milan,lazio,A,,,,,,,,
29,napoli,lecce,H,,,,,,,,
29,parma,torino,A,,,,,,,,
29,pisa,cagliari,H,,,,,,,,
29,roma,como,A,,,,,,,,
29,sassuolo,bologna,H,,,,,,,,
29,torino,parma,H,,,,,,,,
29,udinese,juventus,H,,,,,,,,
29,verona,genoa,H,,,,,,,,
30,atalanta,verona,H,,,,,,,,
30,bologna,lazio,H,,,,,,,,
30,cagliari,napoli,H,,,,,,,,
30,como,pisa,H,,,,,,,,
30,cremonese,parma,A,,,,,,,,
30,fiorentina,inter,H,,,,,,,,
30,genoa,udinese,H,,,,,,,,
30,inter,fiorentina,A,,,,,,,,
30,juventus,sassuolo,H,,,,,,,,
30,lazio,bologna,A,,,,,,,,
30,lecce,roma,A,,,,,,,,
30,milan,torino,H,,,,,,,,
30,napoli,cagliari,A,,,,,,,,
30,parma,cremonese,H,,,,,,,,
30,pisa,como,A,,,,,,,,
30,roma,lecce,H,,,,,,,,
30,sassuolo,juventus,A,,,,,,,,
30,torino,milan,A,,,,,,,,
30,udinese,genoa,A,,,,,,,,
30,verona,atalanta,A,,,,,,,,
31,atalanta,lecce,A,,,,,,,,
31,bologna,cremonese,A,,,,,,,,
31,cagliari,sassuolo,A,,,,,,,,
31,como,udinese,A,,,,,,,,
31,cremonese,bologna,H,,,,,,,,
31,fiorentina,verona,A,,,,,,,,
31,genoa,juventus,A,,,,,,,,
31,inter,roma,H,,,,,,,,
31,juventus,genoa,H,,,,,,,,
31,lazio,parma,H,,,,,,,,
31,lecce,atalanta,H,,,,,,,,
31,milan,napoli,A,,,,,,,,
31,napoli,milan,H,,,,,,,,
31,parma,lazio,A,,,,,,,,
31,pisa,torino,H,,,,,,,,
31,roma,inter,A,,,,,,,,
31,sassuolo,cagliari,H,,,,,,,,
31,torino,pisa,A,,,,,,,,
31,udinese,como,H,,,,,,,,
31,verona,fiorentina,H,,,,,,,,
32,atalanta,juventus,H,,,,,,,,
32,bologna,lecce,H,,,,,,,,
32,cagliari,cremonese,H,,,,,,,,
32,como,inter,H,,,,,,,,
32,cremonese,cagliari,A,,,,,,,,
32,fiorentina,lazio,H,,,,,,,,
32,genoa,sassuolo,H,,,,,,,,
32,inter,como,A,,,,,,,,
32,juventus,atalanta,A,,,,,,,,
32,lazio,fiorentina,A,,,,,,,,
32,lecce,bologna,A,,,,,,,,
32,milan,udinese,H,,,,,,,,
32,napoli,parma,A,,,,,,,,
32,parma,napoli,H,,,,,,,,
32,pisa,roma,A,,,,,,,,
32,roma,pisa,H,,,,,,,,
32,sassuolo,genoa,A,,,,,,,,
32,torino,verona,H,,,,,,,,
32,udinese,milan,A,,,,,,,,
32,verona,torino,A,,,,,,,,
33,atalanta,roma,A,,,,,,,,
33,bologna,juventus,A,,,,,,,,
33,cagliari,inter,A,,,,,,,,
33,como,sassuolo,A,,,,,,,,
33,cremonese,torino,H,,,,,,,,
33,fiorentina,lecce,A,,,,,,,,
33,genoa,pisa,A,,,,,,,,
33,inter,cagliari,H,,,,,,,,
33,juventus,bologna,H,,,,,,,,
33,lazio,napoli,A,,,,,,,,
33,lecce,fiorentina,H,,,,,,,,
33,milan,verona,A,,,,,,,,
33,napoli,lazio,H,,,,,,,,
33,parma,udinese,A,,,,,,,,
33,pisa,genoa,H,,,,,,,,
33,roma,atalanta,H,,,,,,,,
33,sassuolo,como,H,,,,,,,,
33,torino,cremonese,A,,,,,,,,
33,udinese,parma,H,,,,,,,,
33,verona,milan,H,,,,,,,,
34,atalanta,cagliari,A,,,,,,,,
34,bolognaq,roma,H,,,,,,,,
34,cagliari,atalanta,H,,,,,,,,
34,como,genoa,A,,,,,,,,
34,cremonese,napoli,A,,,,,,,,
34,fiorentina,sassuolo,H,,,,,,,,
34,genoa,como,H,,,,,,,,
34,inter,torino,A,,,,,,,,
34,juventus,milan,A,,,,,,,,
34,lazio,udinese,H,,,,,,,,
34,lecce,verona,A,,,,,,,,
34,milan,juventus,H,,,,,,,,
34,napoli,cremonese,H,,,,,,,,
34,parma,pisa,H,,,,,,,,
34,pisa,parma,A,,,,,,,,
34,roma,bolognaq,A,,,,,,,,
34,sassuolo,fiorentina,A,,,,,,,,
34,torino,inter,H,,,,,,,,
34,udinese,lazio,A,,,,,,,,
34,verona,lecce,H,,,,,,,,
35,atalanta,genoa,H,,,,,,,,
35,bologna,cagliari,H,,,,,,,,
35,cagliari,bologna,A,,,,,,,,
35,como,napoli,H,,,,,,,,
35,cremonese,lazio,H,,,,,,,,
35,fiorentina,roma,A,,,,,,,,
35,genoa,atalanta,A,,,,,,,,
35,inter,parma,H,,,,,,,,
35,juventus,verona,H,,,,,,,,
35,lazio,cremonese,A,,,,,,,,
35,lecce,pisa,A,,,,,,,,
35,milan,sassuolo,A,,,,,,,,
35,napoli,como,A,,,,,,,,
35,parma,inter,A,,,,,,,,
35,pisa,lecce,H,,,,,,,,
35,roma,fiorentina,H,,,,,,,,
35,sassuolo,milan,H,,,,,,,,
35,torino,udinese,A,,,,,,,,
35,udinese,torino,H,,,,,,,,
35,verona,juventus,A,,,,,,,,
36,atalanta,milan,A,,,,,,,,
36,bologna,napoli,A,,,,,,,,
36,cagliari,udinese,H,,,,,,,,
36,como,verona,A,,,,,,,,
36,cremonese,pisa,H,,,,,,,,
36,fiorentina,genoa,H,,,,,,,,
36,genoa,fiorentina,A,,,,,,,,
36,inter,lazio,A,,,,,,,,
36,juventus,lecce,A,,,,,,,,
36,lazio,inter,H,,,,,,,,
36,lecce,juventus,H,,,,,,,,
36,milan,atalanta,H,,,,,,,,
36,napoli,bologna,H,,,,,,,,
36,parma,roma,H,,,,,,,,
36,pisa,cremonese,A,,,,,,,,
36,roma,parma,A,,,,,,,,
36,sassuolo,torino,A,,,,,,,,
36,torino,sassuolo,H,,,,,,,,
36,udinese,cagliari,A,,,,,,,,
36,verona,como,H,,,,,,,,
37,atalanta,bologna,H,,,,,,,,
37,bologna,atalanta,A,,,,,,,,
37,cagliari,torino,H,,,,,,,,
37,como,parma,H,,,,,,,,
37,cremonese,udinese,A,,,,,,,,
37,fiorentina,juventus,A,,,,,,,,
37,genoa,milan,H,,,,,,,,
37,inter,verona,H,,,,,,,,
37,juventus,fiorentina,H,,,,,,,,
37,lazio,roma,A,,,,,,,,
37,lecce,sassuolo,A,,,,,,,,
37,milan,genoa,A,,,,,,,,
37,napoli,pisa,A,,,,,,,,
37,parma,como,A,,,,,,,,
37,pisa,napoli,H,,,,,,,,
37,roma,lazio,H,,,,,,,,
37,sassuolo,lecce,H,,,,,,,,
37,torino,cagliari,A,,,,,,,,
37,udinese,cremonese,H,,,,,,,,
37,verona,inter,A,,,,,,,,
38,atalanta,fiorentina,A,,,,,,,,
38,bologna,inter,H,,,,,,,,
38,cagliari,milan,A,,,,,,,,
38,como,cremonese,A,,,,,,,,
38,cremonese,como,H,,,,,,,,
38,fiorentina,atalanta,H,,,,,,,,
38,genoa,lecce,A,,,,,,,,
38,inter,bologna,A,,,,,,,,
38,juventus,torino,A,,,,,,,,
38,lazio,pisa,H,,,,,,,,
38,lecce,genoa,H,,,,,,,,
38,milan,cagliari,H,,,,,,,,
38,napoli,udinese,H,,,,,,,,
38,parma,sassuolo,H,,,,,,,,
38,pisa,lazio,A,,,,,,,,
38,roma,verona,A,,,,,,,,
38,sassuolo,parma,A,,,,,,,,
38,torino,juventus,H,,,,,,,,
38,udinese,napoli,A,,,,,,,,
38,verona,roma,H,,,,,,,,
