round,home,away
24,verona,pisa
24,genoa,napoli
24,fiorentina,torino
24,bologna,parma
24,lecce,udinese
24,milan,como
24,sassuolo,inter
24,juventus,lazio
24,atalanta,cremonese
24,roma,cagliari
25,napoli,roma
25,pisa,milan
25,como,fiorentina
25,inter,juventus
25,parma,verona
25,udinese,sassuolo
25,lazio,atalanta
25,torino,bologna
25,cagliari,lecce
25,cremonese,genoa
26,sassuolo,verona
26,roma,cremonese
26,genoa,torino
26,fiorentina,pisa
26,lecce,inter
26,milan,parma
26,bologna,udinese
26,atalanta,napoli
26,juventus,como
26,cagliari,lazio
27,inter,genoa
27,udinese,fiorentina
27,verona,napoli
27,cremonese,milan
27,parma,cagliari
27,pisa,bologna
27,torino,lazio
27,roma,juventus
27,sassuolo,atalanta
27,como,lecce
28,cagliari,como
28,juventus,pisa
28,bologna,verona
28,lecce,cremonese
28,genoa,roma
28,atalanta,udinese
28,napoli,torino
28,lazio,sassuolo
28,milan,inter
28,fiorentina,parma
29,pisa,cagliari
29,verona,genoa
29,lazio,milan
29,cremonese,fiorentina
29,sassuolo,bologna
29,torino,parma
29,inter,atalanta
29,napoli,lecce
29,como,roma
29,udinese,juventus
30,juventus,sassuolo
30,parma,cremonese
30,cagliari,napoli
30,atalanta,verona
30,roma,lecce
30,genoa,udinese
30,bologna,lazio
30,fiorentina,inter
30,milan,torino
30,como,pisa
31,lazio,parma
31,napoli,milan
31,cremonese,bologna
31,verona,fiorentina
31,lecce,atalanta
31,inter,roma
31,sassuolo,cagliari
31,udinese,como
31,pisa,torino
31,juventus,genoa
32,atalanta,juventus
32,bologna,lecce
32,parma,napoli
32,genoa,sassuolo
32,torino,verona
32,milan,udinese
32,cagliari,cremonese
32,como,inter
32,roma,pisa
32,fiorentina,lazio
33,udinese,parma
33,inter,cagliari
33,cremonese,torino
33,pisa,genoa
33,juventus,bologna
33,sassuolo,como
33,roma,atalanta
33,napoli,lazio
33,lecce,fiorentina
33,verona,milan
34,genoa,como
34,lazio,udinese
34,milan,juventus
34,torino,inter
34,bolognaq,roma
34,parma,pisa
34,fiorentina,sassuolo
34,verona,lecce
34,napoli,cremonese
34,cagliari,atalanta
35,udinese,torino
35,juventus,verona
35,atalanta,genoa
35,cremonese,lazio
35,como,napoli
35,bologna,cagliari
35,pisa,lecce
35,inter,parma
35,roma,fiorentina
35,sassuolo,milan
36,cagliari,udinese
36,fiorentina,genoa
36,verona,como
36,milan,atalanta
36,lecce,juventus
36,lazio,inter
36,napoli,bologna
36,cremonese,pisa
36,parma,roma
36,torino,sassuolo
37,udinese,cremonese
37,pisa,napoli
37,como,parma
37,sassuolo,lecce
37,inter,verona
37,atalanta,bologna
37,genoa,milan
37,roma,lazio
37,juventus,fiorentina
37,cagliari,torino
38,napoli,udinese
38,parma,sassuolo
38,fiorentina,atalanta
38,verona,roma
38,lecce,genoa
38,lazio,pisa
38,milan,cagliari
38,bologna,inter
38,torino,juventus
38,cremonese,como